Accelerator,Steering Wheel,Brake
0.0,0.45469487500000005,0.0
0.0,0.45458500250000006,1.0
0.0,0.45458500250000006,1.0
0.0,0.45458500250000006,1.0
0.0,0.45469487500000005,1.0
0.0,0.45469487500000005,1.0
0.0,0.45458500250000006,1.0
0.0,0.45458500250000006,1.0
0.0,0.45469487500000005,1.0
0.0,0.45469487500000005,1.0
0.0,0.45469487500000005,1.0
0.0,0.45458500250000006,1.0
0.0,0.45458500250000006,1.0
0.0,0.45458500250000006,1.0
0.0,0.45469487500000005,1.0
0.0,0.45469487500000005,1.0
0.0,0.45458500250000006,1.0
0.0,0.45458500250000006,1.0
0.0,0.45458500250000006,1.0
0.0,0.45458500250000006,1.0
0.0,0.45458500250000006,1.0
0.0,0.45458500250000006,1.0
0.0,0.45469487500000005,1.0
0.0,0.45458500250000006,1.0
0.0,0.45458500250000006,1.0
0.0,0.45469487500000005,1.0
0.0,0.4558668775,1.0
0.0,0.4558668775,1.0
0.0,0.4560133775,1.0
0.0,0.45575700083333337,1.0
0.0,0.4559401258333333,1.0
0.0,0.45469487500000005,1.0
0.0,0.45769812583333336,1.0
0.0,0.45769812583333336,1.0
0.0,0.4578446258333333,1.0
0.0,0.4582841266666667,1.0
0.0,0.4623495008333333,1.0
0.0,0.4638511241666667,1.0
0.0,0.4638511241666667,1.0
0.0,0.46458362583333335,1.0
0.0,0.46311862666666664,1.0
0.0,0.45700225166666664,1.0
0.0,0.46059150083333333,0.0
0.0,0.467513625,0.0
0.0,0.467513625,0.0
0.036000000000000004,0.48227350083333337,0.0
0.067,0.495605,0.0
0.10099999999999999,0.49919425,0.0
0.10900001,0.49919425,0.0
0.10900001,0.49875475,0.0
0.10900001,0.49875475,0.0
0.0,0.494835875,0.0
0.0,0.48703474999999996,0.0
0.0,0.487694,0.0
0.0,0.48725450000000003,0.0
0.0,0.4869248758333333,0.0
0.0,0.4869248758333333,0.0
0.0,0.48626562583333327,0.0
0.0,0.48652200083333336,1.0
0.0,0.48703474999999996,1.0
0.0,0.487950375,1.0
0.0,0.48945200083333334,1.0
0.0,0.48945200083333334,1.0
0.0,0.49333425,1.0
0.0,0.502746875,0.0
0.0,0.5037357499999999,0.0
0.0,0.506995375,0.0
0.0,0.506995375,0.0
0.0,0.514906375,0.0
0.0,0.5174701241666667,0.0
0.0,0.511903125,0.0
0.0,0.516078375,0.0
0.0,0.5269926233333334,0.0
0.0,0.5269926233333334,0.0
0.0,0.536808125,0.0
0.0,0.5465503725,0.0
0.0,0.5615666258333334,0.0
0.0,0.5625554975,0.0
0.0,0.5560728708333333,0.0
0.0,0.5560728708333333,0.0
0.0,0.5443162508333333,0.0
0.0,0.530581875,0.0
0.0,0.512306,0.0
0.0,0.5140640008333334,0.0
0.0,0.5152359991666666,0.0
0.0,0.5152359991666666,0.0
0.0,0.511976375,0.0
0.0,0.5113903741666667,0.0
0.0,0.5134047491666667,0.0
0.0,0.5126356241666666,0.0
0.0,0.510657875,0.0
0.0,0.510657875,0.0
0.0,0.5088266241666667,0.0
0.0,0.510218375,0.0
0.0,0.5105479991666667,0.0
0.0,0.5104747491666667,0.0
0.0,0.5104747491666667,0.0
0.0,0.5101451250000001,0.0
0.0,0.50988875,0.0
0.0,0.511463625,0.0
0.0,0.516078375,0.0
0.0,0.527065875,0.0
0.0,0.527065875,0.0
0.0,0.541313,0.0
0.0,0.5697340008333334,0.0
0.0,0.5809778725,0.0
0.0,0.5809778725,0.0
0.0,0.5906468708333333,0.0
0.0,0.5967998691666667,1.0
0.0,0.6021471216666666,1.0
0.0,0.6019639966666667,1.0
0.0,0.6019639966666667,1.0
0.0,0.6014878716666666,1.0
0.0,0.5999862483333334,1.0
0.0,0.5924048741666667,1.0
0.0,0.5855559983333333,1.0
0.0,0.5855559983333333,1.0
0.0,0.579219875,1.0
0.0,0.5722244958333333,0.0
0.0,0.5596621258333333,0.0
0.0,0.559076125,0.0
0.0,0.559076125,0.0
0.0,0.5610538733333333,0.0
0.0,0.5671336241666667,0.0
0.0,0.5858123716666667,1.0
0.0,0.5858123716666667,1.0
0.0,0.5944924991666667,1.0
0.0,0.5999862483333334,1.0
0.0,0.5986311216666667,1.0
0.0,0.5986311216666667,1.0
0.0,0.59764225,1.0
0.0,0.5941628708333333,1.0
0.0,0.5859954958333333,1.0
0.0,0.5580506258333333,1.0
0.0,0.5580506258333333,1.0
0.0,0.5436569975,1.0
0.0,0.5326328758333333,1.0
0.0,0.5158219991666667,1.0
0.0,0.5073249999999999,1.0
0.0,0.5073249999999999,1.0
0.0,0.5001464999999999,1.0
0.0,0.49377375,1.0
0.0,0.4866685,1.0
0.0,0.4866685,1.0
0.0,0.48234675083333334,1.0
0.0,0.4756077508333333,1.0
0.0,0.44535550416666664,1.0
0.0,0.42502862916666667,1.0
0.0,0.42502862916666667,1.0
0.0,0.40085612583333335,1.0
0.0,0.37477912916666667,1.0
0.0,0.3251888783333333,1.0
0.0,0.3251888783333333,1.0
0.0,0.3055945075,1.0
0.0,0.285450745,1.0
0.0,0.268090515,1.0
0.0,0.24443074583333332,1.0
0.0,0.24443074583333332,1.0
0.0,0.24051188166666668,1.0
0.0,0.24318550083333335,1.0
0.0,0.24600563083333332,1.0
0.0,0.24600563083333332,1.0
0.0,0.24618876166666667,1.0
0.0,0.24692125916666668,1.0
0.0,0.24816650416666666,1.0
0.0,0.2517557525,1.0
0.0,0.2517557525,1.0
0.0,0.25384338416666663,1.0
